imdb_id,type,title,director,language,country,year,released_at,runtime,imdb_rating,metascore,imdb_votes,country_group
tt1626038,series,The Avengers: Earth's Mightiest Heroes,,English,USA,2010,2010-09-22,30,8.3,,12505,usa
tt3691740,movie,The BFG,Steven Spielberg,English,"USA, India, UK",2016,2016-07-01,117,6.4,66.0,73906,usa_other
tt0088814,movie,The Black Cauldron,"Ted Berman, Richard Rich","English, Portuguese","USA, UK",1985,1985-07-24,80,6.4,59.0,29395,usa_other
tt0078869,movie,The Black Hole,Gary Nelson,English,USA,1979,1979-12-21,98,6.0,52.0,22422,usa
tt0499448,movie,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,English,"USA, Poland, Slovenia, Czech Republic, UK",2008,2008-05-16,150,6.5,62.0,187627,usa_other
tt0363771,movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,"English, German, Brazilian Sign Language","UK, USA",2005,2005-12-09,143,6.9,75.0,353342,usa_other
tt0120917,movie,The Emperor's New Groove,Mark Dindal,English,USA,2000,2000-12-15,78,7.3,70.0,171721,usa
tt2025690,movie,The Finest Hours,Craig Gillespie,English,USA,2016,2016-01-29,117,6.8,58.0,59000,usa
tt0082406,movie,The Fox and the Hound,"Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman",English,USA,1981,1981-07-10,83,7.3,65.0,81227,usa
tt0492956,movie,The Game Plan,Andy Fickman,English,USA,2007,2007-09-28,110,6.1,44.0,56291,usa
tt1979388,movie,The Good Dinosaur,Peter Sohn,English,USA,2015,2015-11-25,93,6.7,66.0,97413,usa
tt0091149,movie,The Great Mouse Detective,"Ron Clements, Burny Mattinson, David Michener, John Musker","English, French, German, Italian",USA,1986,1986-07-02,74,7.2,73.0,42723,usa
tt0082474,movie,The Great Muppet Caper,Jim Henson,English,"UK, USA",1981,1981-06-26,97,7.2,70.0,12993,usa_other
tt0388980,movie,The Greatest Game Ever Played,Bill Paxton,English,"USA, Canada",2005,2005-09-30,120,7.4,55.0,26823,usa_other
tt0338094,movie,The Haunted Mansion,Rob Minkoff,English,USA,2003,2003-11-26,88,5.0,34.0,40276,usa
tt0116583,movie,The Hunchback of Notre Dame,"Gary Trousdale, Kirk Wise","English, Latin","USA, France",1996,1996-06-21,91,6.9,74.0,135545,usa_other
tt0317705,movie,The Incredibles,Brad Bird,"English, French",USA,2004,2004-11-05,115,8.0,90.0,633057,usa
tt0061852,movie,The Jungle Book,"Wolfgang Reitherman, James Algar, Jack Kinney",English,USA,1967,1967-10-18,78,7.6,65.0,159903,usa
tt0283426,movie,The Jungle Book 2,Steve Trenbirth,English,"USA, Australia",2003,2003-02-14,72,5.4,38.0,14354,usa_other
tt1294226,movie,The Last Song,Julie Anne Robinson,English,USA,2010,2010-03-31,107,6.0,33.0,78380,usa
tt6105098,movie,The Lion King,Jon Favreau,"English, Xhosa, Zulu, French, Spanish","USA, UK",2019,2019-07-19,118,6.9,55.0,189877,usa_other
tt0318403,movie,The Lion King 3: Hakuna Matata,Bradley Raymond,English,"Australia, USA",2004,2004-02-10,77,6.6,,35523,usa_other
tt0120131,movie,The Lion King 2: Simba's Pride,"Darrell Rooney, Rob LaDuca(co-director)",English,"USA, Australia",1998,1998-10-27,81,6.5,,58256,usa_other
tt0110357,movie,The Lion King,"Roger Allers, Rob Minkoff","English, Swahili, Xhosa, Zulu",USA,1994,1994-06-24,88,8.5,88.0,901362,usa
tt0097757,movie,The Little Mermaid,"Ron Clements, John Musker","English, French",USA,1989,1989-11-17,83,7.6,88.0,227707,usa
tt0240684,movie,The Little Mermaid 2: Return to the Sea,"Jim Kammerud, Brian Smith(co-director)",English,"USA, Canada, Australia, Taiwan",2000,2000-09-19,75,5.6,,16648,usa_other
tt0306841,movie,Lizzie McGuire,Jim Fall,"English, Italian",USA,2003,2003-05-02,94,5.5,56.0,34463,usa
tt0064603,movie,The Love Bug,Robert Stevenson,"English, Cantonese, Spanish",USA,1968,1969-03-13,108,6.5,48.0,13617,usa
tt8111088,series,The Mandalorian,,English,USA,2019,2019-11-12,30,8.7,,157153,usa
tt0076363,movie,The Many Adventures of Winnie the Pooh,"John Lounsbery, Wolfgang Reitherman, Ben Sharpsteen",English,USA,1977,1977-03-11,74,7.6,,31065,usa
tt0104940,movie,The Muppet Christmas Carol,Brian Henson,English,"USA, UK",1992,1992-12-11,85,7.7,64.0,45861,usa_other
tt0079588,movie,The Muppet Movie,James Frawley,English,"UK, USA",1979,1979-06-22,95,7.6,74.0,31198,usa_other
tt1204342,movie,The Muppets,James Bobin,English,USA,2011,2011-11-23,103,7.1,75.0,84999,usa
tt1462769,movie,The Odd Life of Timothy Green,Peter Hedges,English,USA,2012,2012-08-15,105,6.6,47.0,43976,usa
tt0055277,movie,The Parent Trap,David Swift,English,USA,1961,1961-06-21,129,7.1,73.0,18041,usa
tt0120783,movie,The Parent Trap,Nancy Meyers,"English, French","USA, UK",1998,1998-07-29,128,6.5,64.0,114898,usa_other
tt0780521,movie,The Princess and the Frog,"Ron Clements, John Musker","English, French",USA,2009,2009-12-11,97,7.1,73.0,117082,usa
tt0093779,movie,The Princess Bride,Rob Reiner,English,USA,1987,1987-10-09,98,8.1,77.0,377085,usa
tt0247638,movie,The Princess Diaries,Garry Marshall,"English, Dutch, Italian","USA, UK",2001,2001-08-03,111,6.3,52.0,123037,usa_other
tt0368933,movie,The Princess Diaries 2: Royal Engagement,Garry Marshall,"English, Greek, French, Spanish",USA,2004,2004-08-11,113,5.8,43.0,70904,usa
tt0076618,movie,The Rescuers,"John Lounsbery, Wolfgang Reitherman, Art Stevens",English,USA,1977,1977-06-22,78,6.9,74.0,55743,usa
tt0100477,movie,The Rescuers Down Under,"Hendel Butoy, Mike Gabriel",English,USA,1990,1990-11-16,77,6.9,70.0,36509,usa
tt0102803,movie,The Rocketeer,Joe Johnston,"English, German",USA,1991,1991-06-21,108,6.5,61.0,50945,usa
tt0265662,movie,The Rookie,John Lee Hancock,English,USA,2002,2002-03-29,127,6.9,72.0,31236,usa
tt0111070,movie,The Santa Clause,John Pasquin,"English, Spanish","USA, Canada",1994,1994-11-11,97,6.5,57.0,91389,usa_other
tt0304669,movie,The Santa Clause 2,Michael Lembeck,English,"USA, Canada",2002,2002-11-01,104,5.6,48.0,47866,usa_other
tt0452681,movie,The Santa Clause 3: The Escape Clause,Michael Lembeck,English,"USA, Canada",2006,2006-11-03,97,4.7,32.0,31254,usa_other
tt0096697,series,The Simpsons,,"English, Spanish, Albanian, French, Japanese, German, Russian, Hindi, Swahili, Italian, Swedish, Turkish, Cantonese, Mandarin, Hebrew, Arabic, Klingon, Bengali, Czech",USA,1989,1989-12-17,22,8.7,,328282,usa
tt0059742,movie,The Sound of Music,Robert Wise,"English, German",USA,1965,1965-04-01,172,8.0,63.0,194154,usa
tt0166896,movie,The Straight Story,David Lynch,English,"France, UK, USA",1999,1999-11-03,112,8.0,86.0,77452,usa_other
tt0426371,series,The Suite Life of Zack & Cody,,English,USA,2005,2005-03-18,30,6.5,,30964,usa
tt1181917,series,The Suite Life on Deck,,English,USA,2008,2008-09-26,30,6.3,,14716,usa
tt0057546,movie,The Sword in the Stone,"Wolfgang Reitherman, Clyde Geronimi, David Hand",English,USA,1963,1964-06-21,79,7.2,61.0,85169,usa
tt0038166,movie,The Three Caballeros,"Norman Ferguson, Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young","English, Spanish, Portuguese",USA,1944,1945-02-22,71,6.5,85.0,11541,usa
tt0108333,movie,The Three Musketeers,Stephen Herek,English,"Austria, UK, USA",1993,1993-11-12,105,6.4,43.0,48683,usa_other
